Epoch 001 | Loss: 0.6480 | Val [AUROC: 0.5936 | F1: 0.4746 | Precision: 0.4924 | Recall: 0.4702 | ACCURACY: 0.5236] | Best AUROC: 0.5936 | LR: 3.40e-04 | Pat: 0/5
Epoch 012 | Loss: 0.3245 | Val [AUROC: 0.8657 | F1: 0.6994 | Precision: 0.7173 | Recall: 0.6931 | ACCURACY: 0.7256] | Best AUROC: 0.8657 | LR: 7.81e-04 | Pat: 0/5
Epoch 013 | Loss: 0.2923 | Val [AUROC: 0.8967 | F1: 0.7254 | Precision: 0.7422 | Recall: 0.7238 | ACCURACY: 0.7433] | Best AUROC: 0.8967 | LR: 7.34e-04 | Pat: 0/5
Epoch 014 | Loss: 0.2648 | Val [AUROC: 0.9138 | F1: 0.7276 | Precision: 0.7459 | Recall: 0.7177 | ACCURACY: 0.7598] | Best AUROC: 0.9138 | LR: 6.85e-04 | Pat: 0/5
Epoch 015 | Loss: 0.2406 | Val [AUROC: 0.9291 | F1: 0.7468 | Precision: 0.7622 | Recall: 0.7345 | ACCURACY: 0.7671] | Best AUROC: 0.9291 | LR: 6.34e-04 | Pat: 0/5
Epoch 016 | Loss: 0.2198 | Val [AUROC: 0.9439 | F1: 0.7528 | Precision: 0.7647 | Recall: 0.7393 | ACCURACY: 0.7814] | Best AUROC: 0.9439 | LR: 5.81e-04 | Pat: 0/5
Epoch 017 | Loss: 0.2024 | Val [AUROC: 0.9524 | F1: 0.7627 | Precision: 0.7723 | Recall: 0.7590 | ACCURACY: 0.7969] | Best AUROC: 0.9524 | LR: 5.28e-04 | Pat: 0/5
Epoch 018 | Loss: 0.1886 | Val [AUROC: 0.9570 | F1: 0.7669 | Precision: 0.7842 | Recall: 0.7539 | ACCURACY: 0.7936] | Best AUROC: 0.9570 | LR: 4.73e-04 | Pat: 0/5
Epoch 019 | Loss: 0.1778 | Val [AUROC: 0.9610 | F1: 0.7625 | Precision: 0.7696 | Recall: 0.7590 | ACCURACY: 0.7973] | Best AUROC: 0.9610 | LR: 4.20e-04 | Pat: 0/5
Epoch 020 | Loss: 0.1691 | Val [AUROC: 0.9651 | F1: 0.7724 | Precision: 0.7834 | Recall: 0.7662 | ACCURACY: 0.7961] | Best AUROC: 0.9651 | LR: 3.67e-04 | Pat: 0/5
Epoch 021 | Loss: 0.1623 | Val [AUROC: 0.9683 | F1: 0.7693 | Precision: 0.7778 | Recall: 0.7630 | ACCURACY: 0.8116] | Best AUROC: 0.9683 | LR: 3.16e-04 | Pat: 0/5
Epoch 022 | Loss: 0.1569 | Val [AUROC: 0.9692 | F1: 0.7704 | Precision: 0.7842 | Recall: 0.7614 | ACCURACY: 0.7939] | Best AUROC: 0.9692 | LR: 2.67e-04 | Pat: 0/5
Epoch 023 | Loss: 0.1530 | Val [AUROC: 0.9659 | F1: 0.7705 | Precision: 0.7887 | Recall: 0.7623 | ACCURACY: 0.7957] | Best AUROC: 0.9692 | LR: 2.20e-04 | Pat: 1/5
Epoch 024 | Loss: 0.1502 | Val [AUROC: 0.9636 | F1: 0.7610 | Precision: 0.7709 | Recall: 0.7526 | ACCURACY: 0.8015] | Best AUROC: 0.9692 | LR: 1.77e-04 | Pat: 2/5
Epoch 025 | Loss: 0.1480 | Val [AUROC: 0.9621 | F1: 0.7623 | Precision: 0.7794 | Recall: 0.7540 | ACCURACY: 0.7936] | Best AUROC: 0.9692 | LR: 1.38e-04 | Pat: 3/5
Epoch 026 | Loss: 0.1463 | Val [AUROC: 0.9605 | F1: 0.7695 | Precision: 0.7865 | Recall: 0.7555 | ACCURACY: 0.7922] | Best AUROC: 0.9692 | LR: 1.03e-04 | Pat: 4/5
Epoch 027 | Loss: 0.1451 | Val [AUROC: 0.9572 | F1: 0.7690 | Precision: 0.7840 | Recall: 0.7646 | ACCURACY: 0.7950] | Best AUROC: 0.9692 | LR: 7.25e-05 | Pat: 5/5
Early stopping at epoch 27 (patience 5 exceeded). Best AUROC: 0.9692 at epoch 22
