Epoch 001 | Loss: 0.6353 | Val [AUROC: 0.5970 | F1: 0.4802 | Precision: 0.4970 | Recall: 0.4699 | ACCURACY: 0.5258] | Best AUROC: 0.5970 | LR: 3.40e-04 | Pat: 0/5
Epoch 016 | Loss: 0.2213 | Val [AUROC: 0.9331 | F1: 0.7511 | Precision: 0.7630 | Recall: 0.7432 | ACCURACY: 0.7813] | Best AUROC: 0.9331 | LR: 5.81e-04 | Pat: 0/5
Epoch 017 | Loss: 0.2043 | Val [AUROC: 0.9468 | F1: 0.7490 | Precision: 0.7572 | Recall: 0.7438 | ACCURACY: 0.7821] | Best AUROC: 0.9468 | LR: 5.28e-04 | Pat: 0/5
Epoch 018 | Loss: 0.1908 | Val [AUROC: 0.9543 | F1: 0.7673 | Precision: 0.7856 | Recall: 0.7617 | ACCURACY: 0.7914] | Best AUROC: 0.9543 | LR: 4.73e-04 | Pat: 0/5
Epoch 019 | Loss: 0.1798 | Val [AUROC: 0.9599 | F1: 0.7682 | Precision: 0.7859 | Recall: 0.7542 | ACCURACY: 0.7909] | Best AUROC: 0.9599 | LR: 4.20e-04 | Pat: 0/5
Epoch 020 | Loss: 0.1713 | Val [AUROC: 0.9629 | F1: 0.7694 | Precision: 0.7766 | Recall: 0.7579 | ACCURACY: 0.7913] | Best AUROC: 0.9629 | LR: 3.67e-04 | Pat: 0/5
Epoch 021 | Loss: 0.1647 | Val [AUROC: 0.9698 | F1: 0.7803 | Precision: 0.7917 | Recall: 0.7762 | ACCURACY: 0.8083] | Best AUROC: 0.9698 | LR: 3.16e-04 | Pat: 0/5
Epoch 022 | Loss: 0.1596 | Val [AUROC: 0.9724 | F1: 0.7794 | Precision: 0.7891 | Recall: 0.7752 | ACCURACY: 0.8110] | Best AUROC: 0.9724 | LR: 2.67e-04 | Pat: 0/5
Epoch 023 | Loss: 0.1559 | Val [AUROC: 0.9711 | F1: 0.7793 | Precision: 0.7959 | Recall: 0.7738 | ACCURACY: 0.7969] | Best AUROC: 0.9724 | LR: 2.20e-04 | Pat: 1/5
Epoch 024 | Loss: 0.1530 | Val [AUROC: 0.9717 | F1: 0.7706 | Precision: 0.7765 | Recall: 0.7695 | ACCURACY: 0.7982] | Best AUROC: 0.9724 | LR: 1.77e-04 | Pat: 2/5
Epoch 025 | Loss: 0.1508 | Val [AUROC: 0.9666 | F1: 0.7731 | Precision: 0.7911 | Recall: 0.7583 | ACCURACY: 0.7995] | Best AUROC: 0.9724 | LR: 1.38e-04 | Pat: 3/5
Epoch 026 | Loss: 0.1493 | Val [AUROC: 0.9641 | F1: 0.7703 | Precision: 0.7814 | Recall: 0.7572 | ACCURACY: 0.8037] | Best AUROC: 0.9724 | LR: 1.03e-04 | Pat: 4/5
Epoch 027 | Loss: 0.1481 | Val [AUROC: 0.9603 | F1: 0.7705 | Precision: 0.7850 | Recall: 0.7603 | ACCURACY: 0.7890] | Best AUROC: 0.9724 | LR: 7.25e-05 | Pat: 5/5
Early stopping at epoch 27 (patience 5 exceeded). Best AUROC: 0.9724 at epoch 22
